name,slug,department,code_insee,post_codes,coords
Saint-Sulpice,saint-sulpice-01,01,01387,['01340'],SRID=4326;POINT (5.0406 46.3215)
Bény,beny-01,01,01038,['01370'],SRID=4326;POINT (5.2789 46.3189)
Bâgé-le-Châtel,bage-le-chatel-01,01,01026,['01380'],SRID=4326;POINT (4.9305 46.3081)
Saint-Jean-de-Gonville,saint-jean-de-gonville-01,01,01360,['01630'],SRID=4326;POINT (5.9395 46.2184)
Dompierre-sur-Chalaronne,dompierre-sur-chalaronne-01,01,01146,['01400'],SRID=4326;POINT (4.9004 46.142)
Saint-Genis-Pouilly,saint-genis-pouilly-01,01,01354,['01630'],SRID=4326;POINT (6.0368 46.2556)
Joyeux,joyeux-01,01,01198,['01800'],SRID=4326;POINT (5.0998 45.946)
Journans,journans-01,01,01197,['01250'],SRID=4326;POINT (5.3333 46.1455)
Boissey,boissey-01,01,01050,"['01190', '01380']",SRID=4326;POINT (4.9975 46.3723)
Confort,confort-01,01,01114,['01200'],SRID=4326;POINT (5.8358 46.1536)
Dhuizel,dhuizel-02,02,02263,['02220'],SRID=4326;POINT (3.6148 49.3591)
Plomion,plomion-02,02,02608,['02140'],SRID=4326;POINT (4.0273 49.8143)
Celles-sur-Aisne,celles-sur-aisne-02,02,02148,['02370'],SRID=4326;POINT (3.4701 49.4135)
Nouvion-le-Vineux,nouvion-le-vineux-02,02,02561,['02860'],SRID=4326;POINT (3.6052 49.5108)
Verneuil-sur-Serre,verneuil-sur-serre-02,02,02787,['02000'],SRID=4326;POINT (3.6806 49.6452)
Remies,remies-02,02,02638,['02270'],SRID=4326;POINT (3.5242 49.6799)
Viffort,viffort-02,02,02800,['02540'],SRID=4326;POINT (3.4663 48.9555)
Viels-Maisons,viels-maisons-02,02,02798,['02540'],SRID=4326;POINT (3.397 48.9035)
Barzy-sur-Marne,barzy-sur-marne-02,02,02051,['02850'],SRID=4326;POINT (3.5586 49.09)
Oigny-en-Valois,oigny-en-valois-02,02,02568,['02600'],SRID=4326;POINT (3.1287 49.213)
Burthecourt-aux-Chênes,burthecourt-aux-chenes-54,54,54108,['54210'],SRID=4326;POINT (6.2487 48.5773)
