CODE_COM_INSEE;LIB_COM;DATE_DEB_INSEE;DATE_FIN_INSEE
01001;ABERGEMENT-CLEMENCIAT;01/01/1900;31/12/1999
01001;ABERGEMENT-CLEMENCIAT;01/01/2000;
01002;ABERGEMENT-DE-VAREY;01/01/1900;31/12/1999
01002;ABERGEMENT-DE-VAREY;01/01/2000;
01004;AMBERIEU-EN-BUGEY;01/01/1900;31/12/1999
01004;AMBERIEU-EN-BUGEY;01/01/2000;
01005;AMBERIEUX-EN-DOMBES;01/01/1900;31/12/1999
01005;AMBERIEUX-EN-DOMBES;01/01/2000;
01006;AMBLEON;01/01/1900;31/12/1999
01006;AMBLEON;01/01/2000;
01007;AMBRONAY;01/01/1900;31/12/1999
01007;AMBRONAY;01/01/2000;
01008;AMBUTRIX;01/01/1900;31/12/1999
01008;AMBUTRIX;01/01/2000;
01009;ANDERT-ET-CONDONS;01/01/1900;31/12/1999
01009;ANDERT-ET-CONDONS;01/01/2000;
01010;ANGLEFORT;01/01/1900;31/12/1999
01010;ANGLEFORT;01/01/2000;
01011;APREMONT;01/01/1900;31/12/1999
01011;APREMONT;01/01/2000;
01012;ARANC;01/01/1900;31/12/1999
01012;ARANC;01/01/2000;
01013;ARANDAS;01/01/1900;31/12/1999
01013;ARANDAS;01/01/2000;
01014;ARBENT;01/01/1900;31/12/1999
01014;ARBENT;01/01/2000;
01015;ARBIGNIEU;01/01/1900;31/12/1999
01015;ARBIGNIEU;01/01/2000;31/12/2015
01015;ARBOYS EN BUGEY;01/01/2016;
01016;ARBIGNY;01/01/1900;31/12/1999
01016;ARBIGNY;01/01/2000;
01017;ARGIS;01/01/1900;31/12/1999
01017;ARGIS;01/01/2000;
01019;ARMIX;01/01/1900;31/12/1999
01019;ARMIX;01/01/2000;
01021;ARS-SUR-FORMANS;01/01/1900;31/12/1999
01021;ARS-SUR-FORMANS;01/01/2000;
01022;ARTEMARE;01/01/1900;31/12/1999
01022;ARTEMARE;01/01/2000;
01023;ASNIERES-SUR-SAONE;01/01/1900;31/12/1999
01023;ASNIERES-SUR-SAONE;01/01/2000;
01024;ATTIGNAT;01/01/1900;31/12/1999
01024;ATTIGNAT;01/01/2000;
01025;BAGE-LA-VILLE;01/01/1900;31/12/1999
01025;BAGE-LA-VILLE;01/01/2000;
01026;BAGE-LE-CHATEL;01/01/1900;31/12/1999
01026;BAGE-LE-CHATEL;01/01/2000;
01027;BALAN;01/01/1900;31/12/1999
01027;BALAN;01/01/2000;
01028;BANEINS;01/01/1900;31/12/1999
01028;BANEINS;01/01/2000;
01029;BEAUPONT;01/01/1900;31/12/1999
01029;BEAUPONT;01/01/2000;
01030;BEAUREGARD;01/01/1900;31/12/1999
01030;BEAUREGARD;01/01/2000;
01031;BELLIGNAT;01/01/1900;31/12/1999
01031;BELLIGNAT;01/01/2000;
01032;BELIGNEUX;01/01/1900;31/12/1999
01032;BELIGNEUX;01/01/2000;
01033;BELLEGARDE-SUR-VALSERINE;01/01/1900;31/12/1999
01033;BELLEGARDE-SUR-VALSERINE;01/01/2000;
01034;BELLEY;01/01/1900;31/12/1999
01034;BELLEY;01/01/2000;
01035;BELLEYDOUX;01/01/1900;31/12/1999
01035;BELLEYDOUX;01/01/2000;
01036;BELMONT-LUTHEZIEU;01/01/1900;31/12/1999
01036;BELMONT-LUTHEZIEU;01/01/2000;
01037;BENONCES;01/01/1900;31/12/1999
01037;BENONCES;01/01/2000;
01038;BENY;01/01/1900;31/12/1999
