CODE_INSEE_PAYS;CODE_DPT;LIB_INSEE_PAYS;CODE_GROUPE_PAYS
411;098;ILES SAINT-PAUL ET NOUVELLE-AMSTERDAM;1
412;098;ARCHIPEL DES KERGUELEN;1
413;098;ARCHIPEL DES CROZET;1
414;098;LA TERRE-ADELIE;1
415;098;ILES EPARSES DE L'OCEAN INDIEN;1
611;098;ALO;1
612;098;SIGAVE;1
613;098;UVEA;1
711;098;ANAA;1
712;098;ARUE;1
713;098;ARUTUA;1
714;098;BORA-BORA;1
715;098;FAAA;1
716;098;FAKARAVA;1
717;098;FANGATAU;1
718;098;FATU-HIVA;1
719;098;GAMBIER;1
720;098;HAO;1
721;098;HIKUERU;1
722;098;HITIAA O TE RA;1
723;098;HIVA-OA;1
724;098;HUAHINE;1
725;098;MAHINA;1
726;098;MAKEMO;1
727;098;MANIHI;1
728;098;MAUPITI;1
729;098;MOOREA-MAIAO;1
730;098;NAPUKA;1
731;098;NUKU-HIVA;1
732;098;NUKUTAVAKE;1
733;098;PAEA;1
734;098;PAPARA;1
735;098;PAPEETE;1
736;098;PIRAE;1
737;098;PUKAPUKA;1
738;098;PUNAAUIA;1
739;098;RAIVAVAE;1
740;098;RANGIROA;1
741;098;RAPA;1
742;098;REAO;1
743;098;RIMATARA;1
744;098;RURUTU;1
745;098;TAHAA;1
746;098;TAHUATA;1
747;098;TAIARAPU-EST;1
748;098;TAIARAPU-OUEST;1
749;098;TAKAROA;1
750;098;TAPUTAPUATEA;1
751;098;TATAKOTO;1
752;098;TEVA I UTA;1
753;098;TUBUAI;1
754;098;TUMARAA;1
755;098;TUREIA;1
756;098;UA-HUKA;1
757;098;UA-POU;1
758;098;UTUROA;1
801;098;BELEP;1
802;098;BOULOUPARI;1
803;098;BOURAIL;1
804;098;CANALA;1
805;098;DUMBEA;1
806;098;FARINO;1
807;098;HIENGHENE;1
808;098;HOUAILOU;1
809;098;ILE-DES-PINS (L');1
810;098;KAALA-GOMEN;1
811;098;KONE;1
812;098;KOUMAC;1
813;098;LA FOA;1
814;098;LIFOU;1
815;098;MARE;1
816;098;MOINDOU;1
817;098;MONT-DORE (LE);1
818;098;NOUMEA;1
819;098;OUEGOA;1
820;098;OUVEA;1
821;098;PAITA;1
822;098;POINDIMIE;1
823;098;PONERIHOUEN;1
824;098;POUEBO;1
825;098;POUEMBOUT;1
826;098;POUM;1
827;098;POYA;1
828;098;SARRAMEA;1
829;098;THIO;1
830;098;TOUHO;1
831;098;VOH;1
832;098;YATE;1
833;098;KOUAOUA;1
901;098;ILE DE CLIPPERTON;1
100;099;FRANCE;1
101;099;DANEMARK;2
102;099;ISLANDE;3
103;099;NORVEGE;3
104;099;SUEDE;2
105;099;FINLANDE;2
106;099;ESTONIE;2
107;099;LETTONIE;2
108;099;LITUANIE;2
109;099;ALLEMAGNE;2
110;099;AUTRICHE;2
111;099;BULGARIE;2
112;099;HONGRIE;2
113;099;LIECHTENSTEIN;3
114;099;ROUMANIE;2
115;099;TCHECOSLOVAQUIE;3
116;099;TCHEQUE (REPUBLIQUE);2
117;099;SLOVAQUIE;2
118;099;BOSNIE-HERZEGOVINE;3
119;099;CROATIE;3
120;099;MONTENEGRO;3
121;099;SERBIE;3
122;099;POLOGNE;2
123;099;RUSSIE;3
124;099;TURQUIE D'EUROPE;3
125;099;ALBANIE;3
126;099;GRECE;2
127;099;ITALIE;2
128;099;SAINT-MARIN;3
129;099;VATICAN, ou SAINT-SIEGE;3
130;099;ANDORRE;3
131;099;BELGIQUE;2
132;099;ROYAUME-UNI;2
133;099;GIBRALTAR;3
134;099;ESPAGNE;2
135;099;PAYS-BAS;2
136;099;IRLANDE, ou EIRE;2
137;099;LUXEMBOURG;2
138;099;MONACO;3
139;099;PORTUGAL;2
140;099;SUISSE;3
141;099;REPUBLIQUE DEMOCRATIQUE ALLEMANDE;3
142;099;REPUBLIQUE FEDERALE D'ALLEMAGNE;3
144;099;MALTE;2
145;099;SLOVENIE;2
148;099;BIELORUSSIE;3
151;099;MOLDAVIE;3
155;099;UKRAINE;3
156;099;EX-REPUBLIQUE YOUGOSLAVE DE MACEDOINE;3
