rte_id;rte_code_type_employeur;rte_lib_type_employeur;rte_date_debut_effet;rte_date_fin_effet;rme_id
1;1;EI;01/01/2017;01/01/2017;
2;2;ETTI;01/01/2017;01/01/2017;
3;3;AI;01/01/2017;01/01/2017;
4;4;ACI;01/01/2017;01/01/2017;
5;5;ESAT;01/01/2017;01/01/2017;
6;6;ENTREPRISE ADAPTEE;01/01/2017;01/01/2017;
7;7;AUTRES;01/01/2017;01/01/2017;
8;1;EI;01/01/2017;;1
9;2;ETTI;01/01/2017;;1
10;3;AI;01/01/2017;;1
11;4;ACI;01/01/2017;;1
12;5;ESAT;01/01/2017;;1
13;6;ENTREPRISE ADAPTEE;01/01/2017;;1
14;7;AUTRES;01/01/2017;;1
15;1;EI;01/01/2017;;2
16;2;ETTI;01/01/2017;;2
17;3;AI;01/01/2017;;2
18;4;ACI;01/01/2017;;2
19;5;ESAT;01/01/2017;;2
20;6;ENTREPRISE ADAPTEE;01/01/2017;;2
21;7;AUTRES;01/01/2017;;2
22;1;EI;01/01/2017;;3
23;2;ETTI;01/01/2017;;3
24;3;AI;01/01/2017;;3
25;4;ACI;01/01/2017;;3
26;5;ESAT;01/01/2017;;3
27;6;ENTREPRISE ADAPTEE;01/01/2017;;3
28;7;AUTRES;01/01/2017;;3
29;1;EI;01/01/2017;;4
30;2;ETTI;01/01/2017;;4
31;3;AI;01/01/2017;;4
32;4;ACI;01/01/2017;;4
33;5;ESAT;01/01/2017;;4
34;6;ENTREPRISE ADAPTEE;01/01/2017;;4
35;7;AUTRES;01/01/2017;;4
36;1;EI;01/01/2017;;5
37;2;ETTI;01/01/2017;;5
38;3;AI;01/01/2017;;5
39;4;ACI;01/01/2017;;5
40;5;ESAT;01/01/2017;;5
41;6;ENTREPRISE ADAPTEE;01/01/2017;;5
42;7;AUTRES;01/01/2017;;5
43;1;EI;01/01/2017;;6
44;2;ETTI;01/01/2017;;6
45;3;AI;01/01/2017;;6
46;4;ACI;01/01/2017;;6
47;5;ESAT;01/01/2017;;6
48;6;ENTREPRISE ADAPTEE;01/01/2017;;6
49;7;AUTRES;01/01/2017;;6
50;1;EI;01/01/2017;;7
51;2;ETTI;01/01/2017;;7
52;3;AI;01/01/2017;;7
53;4;ACI;01/01/2017;;7
54;5;ESAT;01/01/2017;;7
55;6;ENTREPRISE ADAPTEE;01/01/2017;;7
56;7;AUTRES;01/01/2017;;7
57;1;EI;01/01/2017;;8
58;2;ETTI;01/01/2017;;8
59;3;AI;01/01/2017;;8
60;4;ACI;01/01/2017;;8
61;5;ESAT;01/01/2017;;8
62;6;ENTREPRISE ADAPTEE;01/01/2017;;8
63;7;AUTRE;01/01/2017;;8
