DEPARTEMENT,NOM,RUE,COMPLEMENT,COMPLEMENT 2,BP/CS,CODE POSTAL,COMMUNE,CEDEX,MAIL,TELEPHONE,SITE WEB
62,MISSION LOCALE,2 VOIE BOSSUET,RESIDENCE SAINT PAUL,BATIMENT 6,CS 30278,62005,ARRAS,CEDEX,mlpa@mlpa.fr,0321718393,http://www.mlpa.fr
62,MISSION LOCALE,297 RUE MICHELET,,,,62400,BETHUNE,,contact@mlartois.fr,0321644640,
62,MISSION LOCALE,7 RUE BASSE-DES-TINTELLERIES,,,BP 193,62203,BOULOGNE-SUR-MER,CEDEX,ml.boul@wanadoo.fr,0321303622,
62,MISSION LOCALE,33 RUE DE LA VENDEE,,,BP 17,62101,CALAIS,CEDEX,,0321341538,http://www.mission-locale-calais.org
62,MISSION LOCALE,80 RUE MONTPENCHER,ILOT CARNOT,IMMEUBLE SIS,BP 84,62252,HENIN-BEAUMONT,CEDEX,lenba.ouassini@mlhenincarvin.fr,0321206464,http://www.mlhenincarvin.fr
62,MISSION LOCALE,91 AVENUE JEAN JAURES,,,BP 173,62803,LIEVIN,CEDEX,contact@ml-lenslievin.fr,0321748040,http://www.cnml.gouv.fr
62,MISSION LOCALE,RUE DE L'ECHAUT,,,BP 115,62170,MONTREUIL,,mlmontreuil@laposte.fr,0321867696,http://missionlocale-mco.fr
62,MISSION LOCALE,RUE DU QUARTIER-DE-CAVALERIE,QUARTIER FOCH,,BP 62503,62503,SAINT-OMER,CEDEX,monsterleet.c@mission-locale.org,0321939900,http://www.misson-locale.org
62,ADEFI,1 RUE DES PROCUREURS,,,,62130,SAINT-POL-SUR-TERNOISE,,secretariat@adefi-mlr.fr,0321032610,
67,MISSION LOCALE,27 RUE DE LA REDOUTE,,,,67500,HAGUENAU,,contact@mlalsacenord.fr,0388737180,http://www.mlalsacenord.fr
67,MISSION LOCALE,1 CHEMIN DE DORLISHEIM,MAISON DE L'INSERTION,,,67120,MOLSHEIM,,contact@ml-molsheim.com,0388383101,http://www.ml-molsheim.com
67,MISSION LOCALE,14 RUE ZORNHOFF,,,,67700,SAVERNE,,contact@mlsaverne.alsace,0388711008,http://www.mlsaverne.alsace
67,MISSION LOCALE,1 RUE VERLAINE,,,,67300,SCHILTIGHEIM,,contact@mlre-schiltigheim.fr,0388838820,http://www.mlre-schiltigheim.fr
67,MISSION LOCALE,3 A RUE ROSWAG,,,,67600,SELESTAT,,contact@missionlocaleselestat.fr,0388580015,http://www.missionlocaleselestat.fr
67,MISSION LOCALE,13 RUE MARTIN-BUCER,,,,67000,STRASBOURG,,centre-ville@mlpe.eu,0388762400,http://www.mlpe.eu
93,MISSION LOCALE,62 AVENUE DE LA REPUBLIQUE,,,,93300,AUBERVILLIERS,,,0171863536,http://www.missionlocale-aubervilliers.org
93,MISSION LOCALE,1 RUE AUGUSTE RENOIR,,,,93600,AULNAY-SOUS-BOIS,,c.soucaille@mlaulnay-mlidf.org,0148193600,
93,MISSION LOCALE,1-7 RUE DE LA GAITE,LA MIRE,,,93000,BOBIGNY,,k.ouacel@mire-mldf.org,0148969989,http://www.mlmire.org
93,MISSION LOCALE,29 BIS RUE JULES GUESDE,,,,93140,BONDY,,,0148494005,https://www.mission-locale.fr/annuaire/agence/mission-locale-de-bondy
93,MISSION LOCALE,4 BIS ALLEE ROMAIN ROLLAND,ECOPOLE LA DHUIS,,,93390,CLICHY-SOUS-BOIS,,,0141707473,http://www.missionlocaledeladhuys.fr
93,MISSION LOCALE,38-40 AVENUE SALVADOR ALLENDE,,,,93800,EPINAY-SUR-SEINE,,accueil.antenne.epinay@gmail.com,0149989090,http://www.miij.fr
93,MISSION LOCALE,17 PLACE DU POMMIER DE BOIS,,,,93120,LA COURNEUVE,,,0171863400,https://www.mission-locale.fr/annuaire/agence/mission-locale-de-la-courneuve-dugny-le-bourget-stains
93,MISSION LOCALE,15 AVENUE DE LA RESISTANCE,,,,93100,MONTREUIL,,s.belaib@miej493-mlidf.org,0155861810,
93,MISSION LOCALE,14 PLACE GEORGES POMPIDOU,,,,93160,NOISY-LE-GRAND,,,0143044784,http://www.mlsud93.fr
