REFERENCE_PE,NOM,CODE_SAFIR,TYPE_SITE,REGION,LIBELLE_REGION,COMPLEMENT_ADRESSE,DC_COMPLEMENTADRSITEPHYSIQUE,ADRESSE,CODE_POSTAL,COMMUNE,DN_LATITUDE,DN_LONGITUDE
PES0001005145,PES PERI DEFENSE,00310,DRA,11,ILE-DE-FRANCE,NULL,RESIDENCE LE BROADWAY,390 RUE D ESTIENNE D ORVES,92700,COLOMBES,"48,909987","2,233133"
ARA0283005901,TREVOUX,01004,ALE,84,AUVERGNE-RHONE-ALPES,NULL,NULL,527 Allée de Fétan,01600,TREVOUX,"45,942833","4,754614"
ARA0285004012,BOURG EN BRESSE PARME,01010,ALE,84,AUVERGNE-RHONE-ALPES,NULL,NULL,323 AVENUE DE PARME,01000,BOURG EN BRESSE,"46,21809","5,248208"
ARA0280004134,MEXIMIEUX,01019,ALE,84,AUVERGNE-RHONE-ALPES,NULL,NULL,RUE DES VERCHERES,01800,MEXIMIEUX,"45,901016","5,194597"
ARA0290006055,AMBERIEU EN BUGEY,01025,ALE,84,AUVERGNE-RHONE-ALPES,NULL,NULL,285 rue des Mouettes,01500,AMBERIEU EN BUGEY,"45,960463","5,33211"
ARA0291005536,OYONNAX ANATOLE FRANCE,01033,ALE,84,AUVERGNE-RHONE-ALPES,NULL,NULL,188 rue Anatole France,01100,OYONNAX,"46,25398","5,652448"
ARA0293005169,BELLEY ECASSAZ,01064,ALE,84,AUVERGNE-RHONE-ALPES,NULL,ZI ECASSAZ,62 RUE JUVANON DU VACHAT,01300,BELLEY,"45,755494","5,691133"
ARA0284006024,THOIRY,01080,ALE,84,AUVERGNE-RHONE-ALPES,Technopolis du Leman,NULL,348 avenue du Mont-Blanc,01710,THOIRY,"46,237388","6,010226"
HDF0238005382,CHATEAU THIERRY,02012,ALE,32,HAUTS-DE-FRANCE,NULL,NULL,56 AVENUE DE LA REPUBLIQUE,02400,CHATEAU THIERRY,"49,039924","3,412405"
HDF0233003192,ST QUENTIN CORDIER COUR,02014,ALE,32,HAUTS-DE-FRANCE,NULL,NULL,8 BOULEVARD CORDIER,02100,ST QUENTIN,"49,8385","3,2977"
HDF0239006153,HIRSON,02020,ALE,32,HAUTS-DE-FRANCE,NULL,NULL,2 place Victor Hugo,02500,HIRSON,"49,924944","4,080814"
HDF0231005632,VERVINS,02022,ALE,32,HAUTS-DE-FRANCE,NULL,NULL,"23, rue Marc l'Escarbot",02140,VERVINS,"49,836013","3,91721"
HDF0240005857,LAON FOCH,02035,ALE,32,HAUTS-DE-FRANCE,NULL,NULL,Avenue du Maréchal Foch,02000,LAON,"49,553416","3,606758"
HDF0242003204,ST QUENTIN PERI,02043,ALE,32,HAUTS-DE-FRANCE,NULL,NULL,53 RUE GABRIEL PERI,02100,ST QUENTIN,"49,844822","3,28291"
HDF0244005383,SOISSONS,02051,ALE,32,HAUTS-DE-FRANCE,NULL,ZAC DES ENTREPOTS,24 RUE DE L EMAILLERIE,02200,SOISSONS,"49,392693","3,339386"
HDF0237005606,CHAUNY,02074,ALE,32,HAUTS-DE-FRANCE,NULL,NULL,25 rue Jean Monnet,02300,CHAUNY,"49,628001","3,213833"
ARA0059005916,VICHY,03000,ALE,84,AUVERGNE-RHONE-ALPES,NULL,NULL,650 avenue de la Liberté,03200,VICHY,"46,128376","3,425071"
ARA0062005361,MOULINS,03014,ALE,84,AUVERGNE-RHONE-ALPES,NULL,NULL,42 place Jean Moulin,03000,MOULINS,"46,566699","3,326951"
ARA0065005600,MONTLUCON SUD,03022,ALE,84,AUVERGNE-RHONE-ALPES,NULL,NULL,51-53 AVENUE CHARLES DE GAULLE,03100,MONTLUCON,"46,346858","2,609569"
PAC0125005760,DT 04 05,04016,DDA,93,PROVENCE-ALPES-COTE D'AZUR,NULL,résidence le Saint Coeur,7 C rue du Capitaine de Bresson,05000,GAP,"44,559659","6,08301"
PAC0130005820,Digne APE,04254,ALE,93,PROVENCE-ALPES-COTE D'AZUR,NULL,NULL,53 Bis avenue du 8 Mai 1945,04000,DIGNE LES BAINS,"44,091215","6,243275"
PAC0132006093,MANOSQUE APE ET DR,04262,ALE,93,PROVENCE-ALPES-COTE D'AZUR,NULL,ZAC de Chanteprunier,Traverse Françoise Dolto,04100,MANOSQUE,"43,829595","5,804604"
PAC0135005637,GAP,05280,ALE,93,PROVENCE-ALPES-COTE D'AZUR,NULL,NULL,26 boulevard Georges Pompidou,05000,GAP,"44,559106","6,083653"
PAC0141003518,BRIANCON,05295,ALE,93,PROVENCE-ALPES-COTE D'AZUR,NULL,BATIMENT F RESIDENCE LE PRE DU MOULIN,6 AVENUE DU GENERAL DE GAULLE,05100,BRIANCON,"44,894978","6,633022"
PAC0165003444,LA TRINITE APE,06001,ALE,93,PROVENCE-ALPES-COTE D'AZUR,NULL,NULL,3 boulevard Général De Gaulle,06340,LA TRINITE,"43,739868","7,310523"
PAC0142005930,DT 06,06013,DDA,93,PROVENCE-ALPES-COTE D'AZUR,NULL,Immeuble Horizon 1er étage,455 Promenade des Anglais,06200,NICE,"43,666905","7,215334"
PAC0172003661,NICE NORD,06021,ALE,93,PROVENCE-ALPES-COTE D'AZUR,NULL,NULL,98 AVENUE SAINT LAMBERT,06100,NICE,"43,714512","7,262495"
PAC0173003343,LE CANNET / PFV / EOS / CRP,06036,ALE,93,PROVENCE-ALPES-COTE D'AZUR,NULL,IMMEUBLE CANEOPOLE,11-13 CHEMIN DE L'INDUSTRIE,06110,LE CANNET,"43,573244","6,990537"
PAC0152006021,Antibes Sophia APE,06045,ALE,93,PROVENCE-ALPES-COTE D'AZUR,NULL,NULL,1547 chemin des Combes,06600,ANTIBES,"43,601662","7,088791"
PAC0174005826,NICE EST APE,06204,ALE,93,PROVENCE-ALPES-COTE D'AZUR,NULL,NULL,30 - 32 rue Fontaine de la ville,06000,NICE,"43,701917","7,290333"
PAC0175003486,Nice Centre APE et A2S,06212,ALE,93,PROVENCE-ALPES-COTE D'AZUR,NULL,NULL,44 rue Berlioz,06000,NICE,"43,703081","7,259753"
PAC0177005348,NICE OUEST APE,06220,ALE,93,PROVENCE-ALPES-COTE D'AZUR,NULL,Immeuble Premium,"61, 63 avenue Simone Veil",06000,NICE,"43,685575","7,202003"
PAC0168003581,MANDELIEU,06346,ALE,93,PROVENCE-ALPES-COTE D'AZUR,NULL,Z.I. LES TOURRADES PALACE CENTER II,ALLEE HELENE BOUCHER,06210,MANDELIEU LA NAPOULE,"43,55622","6,954444"
PAC0169003659,MENTON,06354,ALE,93,PROVENCE-ALPES-COTE D'AZUR,NULL,NULL,8 rue Guyau,06500,MENTON,"43,776482","7,504488"
