type;nom;Secteur d'activités;Adresse;Téléphone;email;SIRET
ETTI;GERMA ETTI 67;Entreprise de travail temporaire d'insertion - activités agricoles, horticoles, espaces verts, agroalimentaires;"10 rue Sainte Marguerite
 67000 STRASBOURG";03 88 81 75 33;germa.alsace@gmail.com;424 143 089 00037
ETTI;ID'EES INTERIM E;Entretien de travail temporaire d'insertion - toutes activités;Siège : 8 bis rue paul Langevin - BP 72 21300 CHENOVE Structure : 104 rue de Hochfelden 67200 STRASBOURG;03 88 27 20 71;interim.strasbourg@groupeidees.fr;493 444 830 00092
ETTI;ALEMPLOI;Entreprise de travail temporaire d'insertion - activités BTP industrie, recyclage des déchets, Industrie presse;"9 Place Broglie-B.P. 50014
 67068 STRASBOURG CEDEX";03 88 24 87 00;contact@alemploi.fr;409 051 752 00049
ETTI;OVALIE 67;Entreprise de travail temporaire d'insertion de travailleurs handicapés - toutes activités;"14 rue Lafayette
 67100 STRASBOURG";03 88 79 12 92;ovalie67@resovalie.com;500 884 432 00013
AI;BRUCHE EMPLOI;Mise à disposition de personnel;"114 Grand'Rue
 67130 SCHIRMECK";03 88 47 15 57;bruche.emploi@wanadoo.fr;350 661 344 00035
AI;EMPLOI SERVICE;Mise à disposition de personnel;"14 rue Vincent d'Indy
 67260 SARRE UNION";03 88 00 25 83;ai-emploi-service@orange.fr;343 279 386 00035
AI;ENTRAIDE EMPLOI;Mise à disposition de personnel;"1 Rue de Steinbourg
 67700 MONSWILLER";03 88 91 66 11;rkern@entraide-emploi.fr;350 584 769 00029
AI;GERMA AI;Mise à disposition de personnel dans des activités agricoles, horticoles, espaces verts, agro alimentaire. Emplois familiaux;"10 rue Sainte Marguerite
 67000 STRASBOURG";03 88 81 75 43;germa.alsace@gmail.com maa.sylvie@alsace.msa.fr;398 471 862 00019
AI;UTILECO SERVICES;Mise à disposition de personnel;Siège/structure : 7 rue des Remparts 67500 HAGUENAU Etablissement 2aire : 84 Grand'rue 67360 WOERTH;03 88 93 12 55;contact@ledroitautravail.fr direction@reussir-alsace.fr;342 323 102 00034
AI;LOGISERVICES;Mise à disposition de personnel , emplois familiaux aux particuliers, nettoyage de locaux professionnels;"Centre commercial de l'esplanade - Cour d'Oxford
 67000 STRASBOURG";03 88 61 13 14;logiservices@wanadoo.fr;378 599 039 00039
