MESURE;CODE_DEPARTEMENT;LIBELLE_DPT;CODE_POSTAL;COMMUNE;CODE_NAF2;NATURE_JURIDIQUE;SIRET;DENOMINATION_SOCIALE;NUM_RUE;NOM_RUE;CODE_POST_COM;LIB_COM;TELEPHONE;MAIL_SIAE
ETTI;001;AIN;01500;AMBERIEU EN BUGEY;7820Z;SARL coopérative ouvrière de production (SCOP);41071771400035;AINTERIM'AIR;62;Avenue DU GEN SARRAIL;01500;AMBERIEU EN BUGEY;;veronique.lorin@ag2i.org
ACI;001;AIN;01700;ST MAURICE DE BEYNOST;9499Z;Association déclarée ;34356040500023;COTIERE AVENIR;7;Avenue DES ECOLES;01700;ST MAURICE DE BEYNOST;0478555743;compta@cotiere-avenir.fr
AI;001;AIN;01100;ARBENT;9499Z;Association déclarée ;53069516200012;ASSOC AIRE SERVICES;9;Rue DES GROTTES;01100;ARBENT;0474776187;fguilley@groupesolidaire.org
EI;001;AIN;01000;BOURG EN BRESSE;8810C;Association déclarée ;84137691600018;COVETECH01;623; DE L ETERNAZ;01000;BOURG EN BRESSE;0689331413;mdo@tremplin01.com
EI;001;AIN;01000;BOURG EN BRESSE;6209Z;Société à responsabilité limitée (sans autre indication);41921556100020;SARL MICRONOV;13;Avenue ARSENE D ARSONVAL;01000;BOURG EN BRESSE;0474227272;jean-guy.perillat@micronov.com
ACI;001;AIN;01600;TREVOUX;9499Z;Association déclarée ;79013076900025;RECYCLERIE DOMBES VAL DE SAONE;114;Allée DE FORQUEVAUX;01600;TREVOUX;0682473614;guillaume.lacondemine@valhorizon.fr
ACI;001;AIN;01150;BLYES;8790B;Association déclarée, reconnue d'utilité publique;77554456201023;ASSOC ORSAC ENVOL;;Allée DES PRUNUS;01150;BLYES;0474465400;b.astic@envol-orsac.fr
AI;001;AIN;01440;VIRIAT;7810Z;Association déclarée ;34307973700023;ASSOC INTERMEDIAIRE DOMICILE SERVICES;801;Rue DE LA SOURCE;01440;VIRIAT;0474232381;sdaujat@fede01.admr.org
ACI;001;AIN;01000;BOURG EN BRESSE;8790B;Association déclarée ;34327898200107;ASSOC TREMPLIN;623;Chemin DE L ETERNAZ;01000;BOURG EN BRESSE;0474451128;mdo@tremplin01.com
ACI;001;AIN;01200;VALSERHONE;8899B;Association déclarée ;42288040100027;VET COEUR;14;Avenue MAL LECLERC;01200;VALSERHONE;0450480342;aci@vetcoeur.fr
ACI;001;AIN;01000;BOURG EN BRESSE;9499Z;Association déclarée ;43466702800014;ASSOC EPICERIE SOLIDARITE;11;Avenue DE L EGALITE;01000;BOURG EN BRESSE;0474504502;mviolland-epicerie-solidaire@orange.fr
ACI;001;AIN;01000;BOURG EN BRESSE;7810Z;Association déclarée ;35099233500025;ASSOC BOU SOL;18;Rue MONTESQUIEU;01000;BOURG EN BRESSE;0474216818;direction@bousol.fr
EI;001;AIN;01600;TREVOUX;8810A;SAS, société par actions simplifiée;52382301100011;SASU SERV DOMICILE;627;Route DE JASSANS;01600;TREVOUX;0474000673;sassiha.mahmouti@servdomicile.fr
EI;001;AIN;01000;BOURG EN BRESSE;8130Z;SARL coopérative ouvrière de production (SCOP);39305588400042;AINTER SERVICES;171;Avenue DE SAN SEVERO;01000;BOURG EN BRESSE;0474222028;mathieu.gilbert@ag2i.org
ACI;001;AIN;01300;BELLEY;0240Z;Association déclarée ;50980978600023;ASSOC LES BRIGADES VERTES;770;Avenue DE CHATEAU LARRON;01300;BELLEY;0479811279;baudry.johann.bv@orange.fr
ACI;001;AIN;01340;MONTREVEL EN BRESSE;0113Z;Association déclarée ;79395242500015;BRESSE NATURE ET JARDINS;;Place DE LA RESISTANCE;01340;MONTREVEL EN BRESSE;0647667320;josianemazuir.bnj@gmail.com
