MESURE;CODE_DEPARTEMENT;LIBELLE_DPT;CODE_POSTAL;COMMUNE;CODE_NAF2;NATURE_JURIDIQUE;SIRET;DENOMINATION_SOCIALE;SITE WEB;ROME;APPELATION;ROME 2;APPELATION 2;ROME 3;APPELATION 3;ROME 4;APPELATION 4;ROME 5;APPELATION 5;ROME 6;APPELATION 6;ROME 7;APPELATION 7;ROME 8;APPELATION 8;ROME 9;APPELATION 9
AI;062;PAS-DE-CALAIS;62138;AUCHY LES MINES;7830Z;Association intermédiaire ;35016661700034;ASSOC RELAIS VERMELLOIS;;A1203;Ouvrier / Ouvrière d'entretien des espaces verts;;;;;;;;;;;;;;;;
ACI;062;PAS-DE-CALAIS;62290;NOEUX LES MINES;9499Z;Association déclarée ;39185068200025;ASS NOEUX ENVIRONNEMENT;;A1203;Jardinier / Jardinière;;;;;;;;;;;;;;;;
ACI;062;PAS-DE-CALAIS;62650;CAMPAGNE LES BOULONNAIS;8899B;Association déclarée ;41221545100029;ASSOC CAMPAGNES SERVICES;;A1203;Ouvrier / Ouvrière des espaces verts;F1704;Manoeuvre bâtiment;;;;;;;;;;;;;;
ACI;062;PAS-DE-CALAIS;62800;LIEVIN;8899B;Association déclarée ;39389952100032;INSTANCE INTERCOMMUNALE INSERTION 3ID RJ;;A1203;Ouvrier / Ouvrière d'entretien des espaces verts;;;;;;;;;;;;;;;;
ACI;062;PAS-DE-CALAIS;62100;CALAIS;8899B;Association déclarée d'insertion par l'économique;47970021300024;CIDE LISE;;B1803;Couturier / Couturière;;;;;;;;;;;;;;;;
ACI;062;PAS-DE-CALAIS;62800;LIEVIN;9499Z;Association déclarée ;41888954900071;VESTALI;http://www.vestali.fr/site/;D1205;Linger / Lingère;B1803;Couturier / Couturière;;;;;;;;;;;;;;
ACI;062;PAS-DE-CALAIS;62140;MARCONNE;8899B;Association déclarée ;44344111800033;MAISON ACCUEIL SOLIDARITE;;D1507;Employé polyvalent / Employée polyvalente de libre-service;;;;;;;;;;;;;;;;
EI;062;PAS-DE-CALAIS;62130;TROISVAUX;1051C;SAS, société par actions simplifiée;75141543100012;SAS ABBAYE DE BELVAL;;G1602;Cuisinier / Cuisinière;;;;;;;;;;;;;;;;
ACI;062;PAS-DE-CALAIS;62200;BOULOGNE SUR MER;8899B;Association déclarée ;44485057200025;ASSOC LE PANIER DE LA MER 62;;G1603;Employé polyvalent/ Employée polyvalente traiteur ;;;;;;;;;;;;;;;;
EI;062;PAS-DE-CALAIS;62510;ARQUES;8899B;Association déclarée ;41273578900023;DMULTIPLE LA BRIQUETERIE;;H2902;Chaudronnier / Chaudronnière;;;;;;;;;;;;;;;;
EI;062;PAS-DE-CALAIS;62770;AUCHY LES HESDIN;9499Z;Association déclarée ;79958131900024;ASSOC ACCESS AUTO 62;;I1604;Mécanicien / Mécanicienne automobile;;;;;;;;;;;;;;;;
EI;062;PAS-DE-CALAIS;62360;ST LEONARD;4520A;Association déclarée ;38784620700026;ASSOC CAB ESI;;I1604;Préparateur / Préparatrice de véhicules automobiles;;;;;;;;;;;;;;;;
EI;062;PAS-DE-CALAIS;62000;ARRAS;8122Z;SAS, société par actions simplifiée;42880141900139;VITASERVICES SAS SOLUTIS;;K2204;Agent / Agente de propreté de locaux;;;;;;;;;;;;;;;;
ACI;062;PAS-DE-CALAIS;62120;AIRE SUR LA LYS;3832Z;Association déclarée ;38766747000059;ASSOC RECUP AIRE;;K2304;Agent / Agente de tri des déchets;N4105;Chauffeur(se) Collecteur(se) Trieur(se) ;;;;;;;;;;;;;;
ACI;062;PAS-DE-CALAIS;62300;LENS;8790B;Association déclarée ;32668563300074;ASSOC APSA;;M1607;Secrétaire administratif / administrative;F1609;Solier-moquettiste / Solière-moquettiste;;;;;;;;;;;;;;
EI;062;PAS-DE-CALAIS;62440;HARNES;4941B;SA à conseil d'administration (s.a.i.);39964986200048;SA MAIN FORTE;http://www.main-forte.fr/;N4101;Conducteur / Conductrice de véhicules Super Lourds;;;;;;;;;;;;;;;;
EI;062;PAS-DE-CALAIS;62340;BONNINGUES LES CALAIS;8899B;Association déclarée ;41141502900015;CHENELET INSERTION;http://www.chenelet.org;N4101;Conducteur / Conductrice de véhicules Super Lourds;M1203;Assistant / Assistante comptable;;;;;;;;;;;;;;
EI;062;PAS-DE-CALAIS;62600;GROFFLIERS;4939B;Association déclarée ;38437889900080;ASSOC ALPHA;;N4102;Chauffeur(se) accompagnateur(trice) pers à mobilité réduite;K1302;Auxiliaire de vie;K1304;Aide ménager / ménagère à domicile;;;;;;;;;;;;
ACI;062;PAS-DE-CALAIS;62130;ST POL SUR TERNOISE;3832Z;Association déclarée d'insertion par l'économique;38096757000033;ASSOC ATRE;;N4105;Chauffeur-livreur / Chauffeuse-livreuse;G1202;Animateur / Animatrice d'initiation à la nature;;;;;;;;;;;;;;
ETTI;062;PAS-DE-CALAIS;62400;BETHUNE;7820Z;Société à responsabilité limitée (sans autre indication);50796672900141;CAP INTERIM FRANCE;;;;;;;;;;;;;;;;;;;
EI;062;PAS-DE-CALAIS;62800;LIEVIN;8559A;Société à responsabilité limitée (sans autre indication);48940379000020;SARL GOHELLE ENVIRONNEMENT;;;;;;;;;;;;;;;;;;;
ETTI;062;PAS-DE-CALAIS;62000;ARRAS;7820Z;Société à responsabilité limitée (sans autre indication);50796672900117;CAP INTERIM FRANCE;;;;;;;;;;;;;;;;;;;
AI;062;PAS-DE-CALAIS;62800;LIEVIN;8810A;Association déclarée ;34280044800033;ASSOC INTER ACTION;;;;;;;;;;;;;;;;;;;
AI;062;PAS-DE-CALAIS;62500;ST OMER;8899B;Association intermédiaire ;34299070200025;ASSOC SOLIDARITE TRAVAIL;;;;;;;;;;;;;;;;;;;
AI;062;PAS-DE-CALAIS;62120;AIRE SUR LA LYS;8899B;Association déclarée ;34305511700042;ASSOC APARDE;;;;;;;;;;;;;;;;;;;
AI;062;PAS-DE-CALAIS;62300;LENS;8899B;Association intermédiaire ;35120221300051;ASSOC SAPI;;;;;;;;;;;;;;;;;;;
AI;062;PAS-DE-CALAIS;62710;COURRIERES;8810A;Association déclarée ;35215126000044;ASSOC AIAAC;;;;;;;;;;;;;;;;;;;
AI;062;PAS-DE-CALAIS;62700;BRUAY LA BUISSIERE;8899B;Association déclarée ;35402087700024;ASSOC TREMPLIN TRAVAIL SOLIDARITE;;;;;;;;;;;;;;;;;;;
AI;062;PAS-DE-CALAIS;62300;LENS;8413Z;Association intermédiaire ;38014345300039;ASSOC RELAIS TRAVAIL;;;;;;;;;;;;;;;;;;;
EI;062;PAS-DE-CALAIS;62500;ST OMER;9522Z;Association déclarée d'insertion par l'économique;38340754100101;ASSOC ENVIE NORD;;;;;;;;;;;;;;;;;;;
AI;062;PAS-DE-CALAIS;62480;LE PORTEL;7830Z;Association intermédiaire ;38353672900031;ASSOCIATION INTERM'AIDES COTE D'OPALE;;;;;;;;;;;;;;;;;;;
