GEIQ;ADRESSE;COMPLEMENT ADRESSE;VILLE;CODE POSTAL;EMAIL;TEL;NAF;SIRET;;;
GEIQ 22 MULTI SECTEURS;47, rue du Docteur Rahuel;;SAINT-BRIEUC;22000;contact@geiq22.fr;02 96 77 33 24;7830Z;79914163500018;;;
GEIQ 24;ZA Le Libraire;Voie Gutenberg;BERGERAC;24100;contact@geiq24.com;05 53 58 39 75;7830Z;38280216300099;;;
GEIQ 32;25, avenue de l'Yser;;AUCH;32000;stephane.s@fleximrh.fr;05 62 06 87 82;7830Z;42208724700025;;;
GEIQ 3A;Cité de l'Agriculture;5, avenue Roger Salengro - BP 80039;ST LAURENT BLANGY;62223;geiq3a@gmail.com ;06 48 95 95 98;7830Z;80024094700013;;;
GEIQ 3M;11, rue de Pied Sec;;LE MANS;72100;w.grison@geiq3m.com;02 43 50 07 83;9499Z;53770936200017;;;
GEIQ 41;Maison des Entreprises;16, rue de la vallée Maillard;BLOIS CEDEX;41018;contact@geiq41.fr;02 54 78 72 18;7830Z;75029710300020;;;
GEIQ 64;6, rue Bernard Palissy;;LESCAR;64230;geiq64@hotmail.com;05 59 81 21 70;7830Z;41425268400017;;;
GEIQ 69;55, avenue Galline;;VILLEURBANNE;69100;geiq69@geinserim.fr;04 72 44 45 36;7830Z;39049547100026;;;
GEIQ 72 BTP ENVIRONNEMENT;5, avenue René Laënnec;;LE MANS;72000;contact@geiqbtp72.fr;02 43 25 21 07;7830Z;48267194800040;;;
GEIQ 87 CONSTRUCTION;ESTER Technopole ;1, avenue d'Ester;LIMOGES;87069;geiq87@wanadoo.fr;05 55 35 10 42;7830Z;43780723300022;;;
GEIQ AAD OCCITANIE;8, rue Théron de Montaugé;;TOULOUSE;31200;direction@geiqdomicileoc.com;07 87 69 52 97;;81235450400019;;;
GEIQ ACCUEIL ILE-DE-FRANCE;63, rue Rennequin;;PARIS;75017;dorothee.hoffstetter@geiqaccueil.fr;01 49 29 14 12;9499Z;81163530900016;;;
GEIQ ADI ALPIN;ZA - 124, rue de la Prairie;;VOGLANS;73420;direction@geiqadi.fr;09 81 28 11 11;7830Z;52354280100023;;;
GEIQ A DOMICILE HAUTS-DE-FRANCE;37, rue Raymond de Wazieres;;ACHEUX EN AMIENOIS;80560;dillies.acheux@gmail.com;03 22 76 45 16;;82088631500010;;;
GEIQ A DOMICILE PROVENCE;Varsef;1628, avenue Joseph Gasquet;TOULON;83100;direction@geiqaad83.fr;07 60 20 19 03;7830Z;82848815500015;;;
GEIQ ADRIAL;2, rue Jean Bertin;;VALENCE;26000;contact@adrial.org;04 75 75 98 74;7830Z;52153126900038;;;
GEIQ AERO IDF;Continental Square 2 - Bâtiment Neptune;4, place de Berlin - BP 12664;ROISSY CDG Cedex;95725;info@geiq-aero.fr;01 74 25 85 40;7830Z;79364713200018;;;
GEIQ AGRI LIMOUSIN PERIGORD;1, impasse Sainte Claire;;LIMOGES;87000;pouivet.julie@msa-services.fr;05 55 49 85 72;7830Z;48949963200011;;;
GEIQ AGRI QUALIF PAYS DE L'ADOUR;Maison de l'Agriculture ;124, boulevard Tourasse;PAU;64078;contact@geiqagri.fr;05 59 80 70 07;7830Z;49305689900013;;;
GEIQ AGRIQUALIF PAYS DE LA LOIRE;Maison de l'Agriculture;14, avenue Jean Joxé;ANGERS ;49100;geiqagriqualif@agri49.com;02 41 96 76 90;7830Z;51316714800016;;;
GEIQ AGROLOGIS;6, rue du Dauphiné;;CORBAS;69960;a.santamaria@corallis.com;04 37 25 20 37;7830Z;39937378600132;;;
GEIQ AIDE A DOMICILE 45;19, rue Antigna;;ORLEANS;45000;gead45@gmail.com;02 38 62 94 94;7830Z;79055687200014;;;
GEIQ ALISE BERRY;44, rue du 11 novembre 1918;;VIERZON;18100;geiq@alise-ge.com;02 48 52 92 92;;81063554000018;;;
GEIQ ALPEGE HORIZON;780, avenue de Colomby;;CLUSES;74300;contact@alpege.fr    ;04 50 98 79 79;7830Z;75315297400014;;;
GEIQ ALPHEE RHONE-ALPES SANTE SOCIAL;10, place de la Halle;;SAINT-SORLIN EN BUGEY;01150;geiqalphee@gmail.com ;04 74 35 08 70;7830Z;50904400400018;;;
GEIQ AMS;33, avenue du Dr Georges Lévy;Bât 55 - 3;VENISSIEUX;69200;contact@geiq-ams.fr;04 37 65 00 91;8810A;80161927100035;;;
GEIQ ARCHIPEL GUADELOUPE;Immeuble QUADRA;3, bld de Houelbourg;BAIE-MAHAULT;97122;adm@geiq-guadeloupe.org;05 90 92 26 63;7830Z;51510123600013;;;
GEIQ ATEP;3, avenue des Palmiers;;PERPIGNAN;66000;guy.guillaume@wanadoo.fr;06 88 12 51 64;7830Z;47786737800036;;;
GEIQ AVENIR CHR;37, boulevard Aristide Briand;;Aix-en-Provence;13100;contact@avenirchr.fr;06 14 89 54 53;7830Z;84420613600013;;;
GEIQ AVENIR HANDICAP;6, rue des Granges Galand;;SAINT AVERTIN;37550;geiqth@avenirhandicap.fr;02 47 46 38 01;7830Z;52128975100021;;;
GEIQ BATIMENT ALSACE;9, place Broglie;CS 50014;STRASBOURG CEDEX;67068;contact@alemploi.fr;03 88 24 87 00;7830Z;48968776400030;;;
GEIQ BATISCAFE 42;13, rue Camille de Rochetaillée;BP 759;SAINT ETIENNE CEDEX 9;42951;batiscafe.admin@orange.fr;04 77 92 67 65;8899B;49902611000019;;;
GEIQ BTP 12;Chambre des Métiers et de l'Artisanat de l'Aveyron;ZI Cantaranne;ONET LE CHATEAU;12850;contact@geiq12.com;05 65 77 56 35;7830Z;50163193100018;;;
GEIQ BTP 13 & MEDITERRANEE;344, boulevard Michelet;Maison du BTP;MARSEILLE;13009;od@geiqbtp13.fr;04 91 26 77 57;4120B;40300456700018;;;
GEIQ BTP 19;Le Puy Pinçon;Immeuble Consulaire BP 30;TULLE;19000;geiqbtp19@gmail.com;05 55 21 55 27;7830Z;41359673500014;;;
GEIQ BTP 23;3, avenue Pasteur;;GUERET;23000;geiqbtp23@orange.fr;05 55 51 05 05;7830Z;43270415300019;;;
GEIQ BTP 29 NORD;18, rue du Télégraphe;;BREST;29200;contact@geiqbtp29nf.fr;02 98 47 37 55;7830Z;42286173200036;;;
GEIQ BTP 31;95, chemin de Gabardie;;TOULOUSE;31200;contact@geiq-btp31.com;05 34 41 44 88;7830Z;39230436600058;;;
GEIQ BTP 37;6, rue des Granges Galand;;SAINT-AVERTIN;37550;contact@geiqbtp37.fr;02 47 74 81 81;7830Z;50805213100028;;;
GEIQ BTP 43;17, cours Victor Hugo;;LE PUY EN VELAY;43000;contact@geiqbtp43.fr;04 71 02 84 04;7830Z;79428349900018;;;
GEIQ BTP 44;13, rue de la Rabotière;;SAINT-HERBLAIN;44800;contact@geiqbtp44.com;02 40 92 15 56;7830Z;40181149200057;;;
GEIQ BTP 46;Immeuble Cavaignac;190, quai Eugène Cavaignac;CAHORS;46000;contact@geiq46.com;05 65 20 42 24;7830Z;40524380900028;;;
